uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)	f1(training_oov)	f1(testing_oov)
bfbc59a4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	4	1.0	74.23	75.71	81.21	82.18
bfbcc10a-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	1	0.001	2.58	3.03	16.18	14.93
bfbe0e02-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	0.01	44.98	45.92	55.2	54.9
bfbecefa-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	1	1.0	38.56	38.75	48.79	47.53
bfbed26a-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	0.001	1.42	1.6	15.05	13.78
bfbc6480-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	10	0.10000000000000001	68.71	70.75	75.9	77.22
bfbb834e-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	10	0.10000000000000001	72.39	74.03	79.16	80.59
bfbb5d2e-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	1	0.001	0.86	1.03	14.85	13.58
bfbec0ae-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	1.0	82.05	80.92	86.04	84.93
bfbe14d8-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	1.0	83.49	82.36	87.07	85.9
bfbed5e4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	0.01	2.16	1.71	21.51	19.88
bfbcfed6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	4	0.01	28.16	27.96	39.5	37.86
bfbe60be-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	0.001	5.45	5.61	18.55	17.38
bfbeeb92-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	1.0	61.06	56.61	66.87	62.35
bfbb55ae-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	0.10000000000000001	72.9	74.09	79.35	80.5
bfbee80e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	0.10000000000000001	39.16	38.42	49.09	47.32
bfbde742-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	0.10000000000000001	75.06	75.5	80.62	80.65
bfbbdf92-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	0.10000000000000001	71.15	72.61	77.59	78.88
bfbc8f32-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	0.10000000000000001	76.76	78.0	81.96	82.65
bfbd3842-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	10	0.01	55.91	59.36	65.39	67.46
bfbce932-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	10	1.0	85.51	84.35	89.42	87.93
bfbca4a4-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	4	0.001	0.09	0.0	19.28	17.18
bfbd8dba-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	10	0.01	50.17	53.78	61.09	63.53
bfbbe33e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	1.0	79.67	80.47	85.35	85.32
bfbe5d30-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	4	1.0	41.24	39.07	49.85	46.53
bfbc87f8-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	0.001	9.67	9.58	25.66	24.79
bfbb4636-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	0.10000000000000001	70.72	73.08	77.35	78.82
bfbc7d30-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	0.01	56.05	58.98	65.69	67.39
bfbc2ccc-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	4	1.0	75.86	77.39	81.9	82.95
bfbef632-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	1	0.10000000000000001	17.39	16.24	30.42	27.58
bfbbd42a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	1.0	76.84	77.55	82.84	83.2
bfbb49e2-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	1.0	79.72	80.62	85.36	85.87
bfbd34d2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	10	0.001	0.65	0.65	19.46	17.3
bfbb64fe-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	1	0.10000000000000001	66.78	69.93	73.5	75.52
bfbea772-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	4	0.001	1.77	1.91	8.4	7.68
bfbd6d1c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	1	0.001	5.24	5.04	17.74	16.09
bfbd8a40-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	10	0.001	1.9	2.26	19.62	17.8
bfbc0c1a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	10	0.10000000000000001	70.45	72.24	77.26	78.61
bfbecb6c-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	1	0.10000000000000001	7.41	5.55	26.42	24.0
bfbeb208-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	4	1.0	79.55	79.12	83.96	83.13
bfbe87c4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	4	1.0	79.41	78.87	83.75	82.99
bfbda6f6-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	4	0.001	0.55	0.28	17.9	15.97
bfbc3f5a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	1	0.001	7.79	7.65	16.35	15.26
bfbedd1e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	1.0	53.72	52.38	60.73	58.82
bfbb516c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	0.01	61.17	64.94	68.88	71.33
bfbe6b54-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	1.0	45.77	42.75	53.57	49.64
bfbcf774-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	1.0	45.79	44.2	54.36	51.55
bfbc0fd0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	10	1.0	80.23	81.27	85.9	86.41
bfbd7eb0-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	4	0.01	27.72	29.31	43.03	43.31
bfbdf8ae-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	1	1.0	74.11	75.46	79.22	80.08
bfbe994e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	1	0.001	1.81	1.63	4.36	3.87
bfbe188e-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	1	0.001	5.15	4.84	11.79	10.78
bfbc37da-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	10	0.10000000000000001	69.75	71.6	76.79	78.07
bfbe31ca-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	4	1.0	54.8	51.85	61.88	58.32
bfbdeab2-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	1.0	85.83	83.41	89.04	86.86
bfbe2004-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	1	0.10000000000000001	34.35	33.85	45.2	43.41
bfbbf9be-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	4	0.01	51.78	55.7	60.88	62.96
bfbb8b00-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	0.001	4.07	3.42	16.72	14.72
bfbb9a3c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	0.001	20.06	18.43	33.43	30.8
bfbf1608-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	10	1.0	44.11	41.66	51.89	48.57
bfbe5934-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	4	0.10000000000000001	30.06	30.74	39.78	39.17
bfbf0f14-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	10	0.01	12.9	12.35	25.1	22.95
bfbdb1d2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	4	1.0	50.09	49.23	58.01	56.1
bfbdf552-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	1	0.10000000000000001	40.71	42.1	53.42	53.12
bfbcf3e6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	0.10000000000000001	39.96	40.03	49.72	48.57
bfbb8ec0-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	0.01	49.75	53.45	58.85	61.59
bfbba9c8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	10	0.001	30.86	30.21	41.9	39.89
bfb9c07c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	1	0.01	32.57	34.06	46.51	46.72
bfbd9ff8-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	1	0.10000000000000001	27.72	28.2	39.78	38.71
bfbd69a2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	10	1.0	82.53	82.19	87.01	86.25
bfbe7950-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	1	1.0	72.91	73.41	78.46	78.34
bfbddfd6-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	0.001	8.11	6.22	23.18	19.98
bfba9b32-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	1	1.0	75.28	76.59	81.45	82.47
bfbc6818-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	10	1.0	78.65	79.53	85.05	85.61
bfbb73fe-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	4	0.10000000000000001	70.57	72.29	77.11	78.74
bfbcc84e-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	1	0.10000000000000001	67.98	71.0	74.71	76.51
bfbdd8f6-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	4	0.10000000000000001	71.86	72.99	78.02	78.74
bfbe4048-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	10	1.0	60.76	56.69	66.69	62.26
bfbea07e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	1	0.10000000000000001	9.23	8.2	29.08	27.05
bfbeae8e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	4	0.10000000000000001	57.17	58.32	66.21	66.13
bfbe395e-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	10	0.01	30.07	28.58	39.63	36.92
bfbeaad8-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	4	0.01	0.0	0.0	19.45	17.33
bfbb7b6a-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	10	0.001	35.1	35.87	47.27	47.26
bfbc46f8-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	1	0.10000000000000001	58.04	61.2	67.28	68.8
bfbd49b8-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	1	0.10000000000000001	43.52	46.16	55.24	56.4
bfbc295c-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	4	0.10000000000000001	67.03	70.19	74.27	76.22
bfbc25d8-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	4	0.01	44.65	48.26	55.01	57.12
bfbb23b8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	10	0.01	63.18	66.72	70.49	72.76
bfbd1100-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	10	0.10000000000000001	47.37	47.07	56.28	54.65
bfbe3cce-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	10	0.10000000000000001	45.56	43.73	54.39	51.43
bfbe2392-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	1	1.0	47.93	46.03	56.44	53.52
bfbb36e6-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	1	0.10000000000000001	67.16	69.91	74.1	75.64
bfbd1be6-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	1	0.01	0.12	0.12	19.26	17.14
bfbc1b10-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	1	0.10000000000000001	58.83	62.32	67.38	69.16
bfbd9c10-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	1	0.01	2.96	2.98	20.69	18.77
bfbd3f5e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	10	1.0	82.16	81.37	86.8	85.59
bfbef2b8-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	1	0.01	1.89	1.53	18.18	16.14
bfbd025a-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	4	0.10000000000000001	44.92	44.89	54.13	52.73
bfbe9214-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	10	0.10000000000000001	72.47	73.0	78.51	78.66
bfbba1d0-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	0.10000000000000001	69.76	72.04	76.64	78.15
bfbe1c08-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	1	0.01	6.96	6.54	23.97	22.94
bfbee480-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	0.01	12.64	13.4	28.21	27.17
bfbcde1a-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	10	0.001	19.62	20.33	32.77	32.51
bfbc3456-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	10	0.01	55.83	60.12	64.09	66.97
bfbb8722-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	10	1.0	81.94	82.73	87.27	87.56
bfbf1298-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	10	0.10000000000000001	28.73	29.17	38.54	37.44
bfbdae58-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	4	0.10000000000000001	38.1	38.41	48.25	46.83
bfbc92ac-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	1.0	86.77	85.54	90.46	88.83
bfbec432-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	1	0.001	3.54	3.28	9.32	8.7
bfbd5462-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	4	0.01	3.52	2.7	21.49	18.9
bfbdfc64-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	4	0.001	0.6	0.47	15.4	13.95
bfbd744c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	1	0.10000000000000001	50.3	53.71	61.51	62.97
bfbddc66-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	4	1.0	82.11	81.46	85.83	85.14
bfbc1750-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	1	0.01	2.87	2.54	21.23	19.16
bfbbb210-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	10	0.10000000000000001	71.14	73.14	78.01	79.15
bfbd267c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	4	0.001	0.14	0.04	19.13	16.99
bfbec7ac-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	1	0.01	0.23	0.23	19.09	17.1
bfbd8310-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	4	0.10000000000000001	68.99	71.87	75.93	77.22
bfbf07e4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	4	1.0	37.7	36.78	46.44	44.24
bfbce19e-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	10	0.01	61.49	65.35	70.1	72.46
bfbc00f8-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	4	1.0	76.33	77.38	82.48	83.14
bfbe0362-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	4	0.10000000000000001	68.73	70.69	75.35	76.38
bfbd29f6-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	4	0.01	36.49	39.76	49.84	51.76
bfbe9cc8-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	1	0.01	0.03	0.0	19.31	17.25
bfbe809e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	4	0.01	7.58	7.1	25.04	22.95
bfbef9b6-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	1	1.0	28.88	30.25	38.95	38.59
bfbdbc72-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	10	0.10000000000000001	43.46	43.83	52.54	51.15
bfbeef02-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	1	0.001	2.57	3.29	9.64	9.64
bfbc5620-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	4	0.10000000000000001	66.02	68.79	73.88	75.49
bfbc79b6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	0.001	0.21	0.11	18.82	16.65
bfbe7d1a-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	4	0.001	4.69	3.77	15.46	13.53
bfbb2b4c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	10	1.0	83.77	84.06	89.24	88.81
bfbc6f0c-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	1	0.01	6.82	6.18	23.87	21.31
bfbcabde-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	4	0.10000000000000001	72.73	74.86	78.54	80.09
bfbe2e5a-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	4	0.10000000000000001	40.51	39.8	49.97	48.06
bfbe4ebc-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	1	1.0	35.66	35.28	45.36	43.28
bfbe6438-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	0.01	20.37	18.72	29.58	27.15
bfbc3082-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	10	0.001	3.08	3.03	22.39	20.93
bfbd77bc-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	1	1.0	72.36	74.61	78.69	79.79
bfbe35c6-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	10	0.001	3.85	3.29	17.63	15.62
bfbe06d2-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	4	1.0	79.83	80.23	83.96	84.07
bfbb3e70-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	0.001	15.22	14.73	35.78	35.27
bfbb1be8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	4	1.0	80.18	81.05	85.76	86.22
bfbe6ece-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	1	0.001	5.16	4.93	8.23	7.59
